run_accession,CELL LINE,TISSUE,predicted,MetaSRA
SRR950080,0.00013667878,0.99986327,TISSUE,CELL LINE
SRR950082,0.00012875593,0.99987125,TISSUE,CELL LINE
SRR950084,0.00021214614,0.99978787,TISSUE,CELL LINE
SRR950086,0.00014394258,0.999856,TISSUE,CELL LINE
SRR1179855,1.0,1.5720109e-09,CELL LINE,TISSUE
SRR1179856,1.0,5.4415394e-10,CELL LINE,TISSUE
ERR841668,0.987909,0.0120910015,CELL LINE,TISSUE
ERR841671,0.9953334,0.0046665994,CELL LINE,TISSUE
SRR2099742,0.48625764,0.5137424,TISSUE,CELL LINE
SRR2099740,0.3530822,0.64691776,TISSUE,CELL LINE
SRR2072594,0.79444206,0.20555797,CELL LINE,TISSUE
SRR2072593,0.8993075,0.10069247,CELL LINE,TISSUE
SRR2072592,0.99963987,0.00036016922,CELL LINE,TISSUE
SRR644273,0.6247581,0.37524188,CELL LINE,TISSUE
SRR956936,0.7743703,0.22562964,CELL LINE,TISSUE
SRR956937,0.96875453,0.0312455,CELL LINE,TISSUE
SRR956938,0.8873502,0.112649806,CELL LINE,TISSUE
SRR956939,0.80334085,0.19665913,CELL LINE,TISSUE
SRR956940,0.51423603,0.48576394,CELL LINE,TISSUE
SRR2166357,2.6063274e-06,0.9999974,TISSUE,CELL LINE
SRR2810187,0.694499,0.30550098,CELL LINE,TISSUE
SRR2810186,0.9289003,0.07109969,CELL LINE,TISSUE
SRR1850932,0.00024435905,0.9997557,TISSUE,CELL LINE
SRR1850927,0.0131911645,0.9868088,TISSUE,CELL LINE
SRR299025,0.000743061,0.9992569,TISSUE,CELL LINE
SRR299027,0.0040103253,0.9959896,TISSUE,CELL LINE
SRR1231444,0.999542,0.00045797837,CELL LINE,TISSUE
SRR1231445,0.9999989,1.1319935e-06,CELL LINE,TISSUE
SRR1231446,0.9999999,1.6288593e-07,CELL LINE,TISSUE
SRR1231447,0.929605,0.07039501,CELL LINE,TISSUE
SRR1649700,0.6569346,0.34306547,CELL LINE,TISSUE
SRR1649701,0.991055,0.008944909,CELL LINE,TISSUE
SRR1649702,0.99032646,0.009673496,CELL LINE,TISSUE
SRR1562815,0.48128453,0.51871544,TISSUE,CELL LINE
SRR1178330,0.8211519,0.17884809,CELL LINE,TISSUE
SRR2912479,1.1466004e-10,1.0,TISSUE,CELL LINE
SRR1261168,0.00057085144,0.99942917,TISSUE,CELL LINE
SRR1261170,0.00024971992,0.9997503,TISSUE,CELL LINE
SRR1207811,0.999987,1.3008357e-05,CELL LINE,TISSUE
