,tissue,tissue_confi
SRR898217,BRAIN,1.0
ERR532566,PROSTATE,1.0
SRR898012,BRAIN,1.0
SRR1191349,BRAIN,0.9789478
SRR898299,LIVER,0.56309634
SRR897793,LIVER,0.63435775
SRR897273,BRAIN,1.0
SRR896904,BRAIN,1.0
SRR650200,KIDNEY,0.6139668
SRR896912,BRAIN,1.0
SRR317088,OTHER,1.0
ERR519489,ESOPHAGUS,0.6238042
SRR897047,BRAIN,0.5945399
SRR898398,BRAIN,1.0
SRR1201720,LUNG,0.27305043
SRR896733,LIVER,0.68629587
SRR897064,BRAIN,0.6251824
SRR896709,LIVER,0.72493804
ERR649034,ESOPHAGUS,0.9561144
SRR897325,BRAIN,1.0
SRR897814,LIVER,0.58013046
SRR926669,OTHER,0.9974171
SRR898491,BRAIN,1.0
SRR897838,LIVER,0.6261944
SRR897246,BRAIN,1.0
ERR649070,ESOPHAGUS,0.997062
SRR317092,OTHER,1.0
SRR1216067,BRAIN,1.0
SRR897216,BRAIN,1.0
SRR897962,BRAIN,1.0
SRR837858,SKIN,0.86967057
ERR519516,ESOPHAGUS,0.96561223
SRR898185,BRAIN,1.0
SRR1146260,BRAIN,0.27079356
SRR1201674,LUNG,0.28061965
SRR897450,LIVER,0.6384994
SRR896853,BRAIN,1.0
SRR898294,LIVER,0.5710089
SRR628230,TESTIS,0.99882156
ERR594513,STOMACH,0.9999992
SRR014496,BRAIN,1.0
SRR1027754,LUNG,0.5860523
SRR633601,KIDNEY,1.0
SRR898268,LIVER,0.5159358
SRR898250,LIVER,0.5038916
SRR897332,BRAIN,1.0
SRR317097,OTHER,1.0
SRR898297,LIVER,0.5834536
SRR898246,LIVER,0.60114187
SRR959719,BONE MARROW,0.4722228
SRR896898,BRAIN,1.0
SRR948111,OTHER,0.92591655
SRR896734,LIVER,0.72612107
SRR542371,BREAST,1.0
SRR1202650,BRAIN,0.4445494
SRR628226,PANCREAS,1.0
SRR650193,PROSTATE,0.5402622
SRR1201783,BRAIN,0.28035402
SRR959680,BONE MARROW,0.44909698
SRR1216106,BRAIN,1.0
SRR898489,BRAIN,1.0
SRR1521206,LUNG,0.5346041
SRR922452,OTHER,1.0
SRR898042,BRAIN,1.0
SRR897048,BRAIN,0.7409325
SRR897231,BRAIN,1.0
SRR898044,BRAIN,1.0
SRR926688,LIVER,1.0
ERR519517,ESOPHAGUS,0.47065836
SRR897248,BRAIN,1.0
SRR896672,LIVER,0.7731761
SRR924536,OTHER,0.9999999
SRR650198,PROSTATE,0.9503177
SRR898256,LIVER,0.48341265
SRR896862,BRAIN,1.0
ERR532605,PROSTATE,1.0
SRR898377,BRAIN,1.0
SRR897250,BRAIN,1.0
SRR1216010,LIVER,0.8205403
SRR959612,BRAIN,0.99926966
SRR897836,LIVER,0.5900693
SRR898033,BRAIN,1.0
SRR959647,BRAIN,0.99974936
SRR898116,LIVER,0.65065515
SRR492040,BREAST,0.98741055
SRR898010,BRAIN,1.0
SRR1201819,BRAIN,0.31752175
SRR898411,BRAIN,1.0
SRR897574,BRAIN,1.0
SRR1216089,BRAIN,1.0
SRR1767290,OTHER,1.0
ERR532607,PROSTATE,1.0
SRR922460,OTHER,1.0
SRR633593,BREAST,0.6616105
ERR519498,SKIN,0.6395543
SRR897434,LIVER,0.6096306
SRR898234,BRAIN,1.0
SRR1201825,BRAIN,0.47912106
ERR649043,ESOPHAGUS,0.9999792
SRR542385,BREAST,1.0
SRR896727,LIVER,0.6503889
SRR1216087,BRAIN,1.0
SRR1203817,BRAIN,0.40422106
SRR897648,BRAIN,1.0
SRR542381,BREAST,0.9994297
SRR897412,BRAIN,0.4872325
SRR959670,BONE MARROW,0.49286628
SRR896724,LIVER,0.76013505
ERR532588,PROSTATE,1.0
SRR898177,BRAIN,1.0
SRR896726,LIVER,0.78733546
SRR649552,BRAIN,0.9387663
SRR959628,BRAIN,0.6568407
DRR003598,BRAIN,0.98238754
SRR897115,LIVER,0.673108
SRR959732,BONE MARROW,0.42110166
SRR633564,BREAST,0.9616874
SRR897468,LIVER,0.5330959
SRR898417,BRAIN,1.0
SRR1193638,BRAIN,0.9505962
ERR649027,ESOPHAGUS,0.99994963
SRR897427,LIVER,0.6298368
SRR926698,LIVER,1.0
SRR897093,BRAIN,0.68475735
SRR1649193,OTHER,0.9999999
SRR898476,BRAIN,1.0
SRR896715,LIVER,0.7711896
SRR897667,BRAIN,1.0
SRR897811,LIVER,0.58062214
SRR897696,BRAIN,1.0
SRR898371,BRAIN,1.0
SRR1201830,KIDNEY,0.97060716
SRR897275,BRAIN,1.0
SRR896971,BRAIN,1.0
SRR896977,BRAIN,1.0
SRR897970,BRAIN,1.0
SRR898422,BRAIN,1.0
ERR649052,ESOPHAGUS,0.9999871
SRR387432,BONE MARROW,0.9997897
SRR542350,BREAST,1.0
SRR1192166,BRAIN,0.89160585
SRR897934,BRAIN,1.0
SRR650204,KIDNEY,0.30142257
SRR897841,LIVER,0.61729527
SRR2081137,PROSTATE,1.0
SRR897279,BRAIN,1.0
SRR924537,OTHER,0.9999851
SRR959672,BONE MARROW,0.56314147
SRR1046825,LUNG,0.9972315
SRR1201980,LUNG,0.28940955
SRR1721311,STOMACH,1.0
ERR532567,PROSTATE,1.0
SRR897709,BRAIN,1.0
SRR1192963,BRAIN,0.9554821
SRR1216128,BRAIN,0.99999917
ERR649039,ESOPHAGUS,0.999735
SRR018269,BONE MARROW,0.99838865
SRR897797,LIVER,0.66027653
SRR897262,BRAIN,1.0
SRR898448,BRAIN,1.0
SRR897612,BRAIN,1.0
SRR1216120,BRAIN,1.0
SRR922459,OTHER,1.0
SRR1203815,BRAIN,0.96949065
SRR1213741,OTHER,1.0
SRR633595,BREAST,0.45271578
SRR898254,LIVER,0.5558246
SRR897647,BRAIN,1.0
SRR1191344,BRAIN,0.98224676
SRR896677,LIVER,0.7506969
SRR1216022,LIVER,0.7920316
SRR1191343,BRAIN,0.9747257
SRR898132,LIVER,0.64572173
SRR898030,BRAIN,1.0
SRR419390,LUNG,0.90764827
SRR922450,OTHER,1.0
SRR897447,BRAIN,0.4964239
SRR897822,LIVER,0.51055545
ERR649063,ESOPHAGUS,0.9999984
SRR898479,BRAIN,1.0
