,ss,ss_confi
SRR504651,OTHER,0.99999654
SRR504648,OTHER,0.9999954
ERR652845,OTHER,0.99998873
ERR652846,OTHER,0.99998796
ERR652847,OTHER,0.9999876
ERR409743,TISSUE,0.99989927
ERR409744,TISSUE,0.99991167
ERR409745,TISSUE,0.999901
SRR512034,OTHER,0.9999692
SRR512065,OTHER,0.9999102
SRR512077,OTHER,0.99991405
SRR768659,OTHER,0.99974614
SRR768660,OTHER,0.99983895
SRR578270,OTHER,0.9999852
SRR577225,OTHER,0.99998605
SRR570309,TISSUE,0.8023165
SRR570308,TISSUE,0.8005783
SRR536348,OTHER,0.9997757
SRR536342,OTHER,0.9992011
SRR817607,OTHER,0.99959147
SRR817683,OTHER,0.9998506
SRR504986,OTHER,0.9999992
SRR504989,OTHER,0.9999957
SRR2488739,OTHER,0.9554493
SRR2493706,OTHER,0.968871
ERR361060,OTHER,1.0
ERR361062,OTHER,0.99999934
SRR832889,TISSUE,0.9998968
SRR832891,TISSUE,0.99982816
SRR2103638,TISSUE,0.518484
SRR2103637,OTHER,0.87469995
SRR316212,TISSUE,0.9814742
SRR316214,TISSUE,0.7539531
SRR497884,OTHER,0.98208463
SRR497885,OTHER,0.9884551
DRR014114,TISSUE,0.5419061
ERR626963,OTHER,0.99980104
DRR014113,TISSUE,0.5910168
SRR619716,OTHER,0.99997264
SRR1575099,TISSUE,0.89421654
SRR796731,OTHER,0.99999535
SRR436885,OTHER,0.99342406
SRR393010,TISSUE,0.998398
SRR349672,TISSUE,0.96309376
SRR341975,OTHER,0.999899
SRR333479,OTHER,0.99999696
SRR063981,TISSUE,0.9999734
SRR866929,OTHER,0.99978983
SRR527082,OTHER,0.9434624
SRR492714,OTHER,0.9997698
