,ss,ss_confi
ERR659084,OTHER,0.96458805
ERR659180,OTHER,0.6766468
ERR659085,OTHER,0.9993145
ERR659181,OTHER,0.99963456
ERR659086,OTHER,0.99759036
ERR659182,OTHER,0.996813
ERR659087,OTHER,0.9994283
ERR659183,OTHER,0.9993326
ERR659088,OTHER,0.96586275
ERR659184,OTHER,0.96023256
ERR659089,OTHER,0.999256
ERR659185,OTHER,0.9996635
ERR659090,OTHER,0.9990805
ERR659186,OTHER,0.99901736
ERR659091,OTHER,0.9995788
ERR659187,OTHER,0.9992959
ERR659092,OTHER,0.9999813
ERR659188,OTHER,0.99997914
ERR659093,OTHER,0.9996479
ERR659189,OTHER,0.99939287
SRR1265554,TISSUE,0.99718964
SRR1192353,OTHER,0.99998504
SRR1192354,OTHER,0.9999862
SRR1192370,OTHER,0.99997413
SRR1192371,OTHER,0.99997556
SRR1192399,OTHER,0.9999874
SRR1192398,OTHER,0.99998635
SRR1192417,OTHER,0.99996835
SRR1192418,OTHER,0.99997264
SRR1192415,OTHER,0.9999674
SRR1192416,OTHER,0.9999708
SRR1192413,OTHER,0.9999747
SRR1192414,OTHER,0.99997294
SRR1192420,OTHER,0.9999715
SRR1192419,OTHER,0.9999636
SRR1192471,OTHER,0.99997234
SRR1192470,OTHER,0.99996966
SRR1192469,OTHER,0.9999631
SRR1192468,OTHER,0.999967
SRR1192467,OTHER,0.9999706
SRR1192466,OTHER,0.9999701
SRR1192465,OTHER,0.999963
SRR1192500,OTHER,0.9999787
SRR1192501,OTHER,0.9999725
SRR1192502,OTHER,0.9999744
SRR1192503,OTHER,0.9999709
SRR1192496,OTHER,0.9999744
SRR1192497,OTHER,0.99996835
SRR1192499,OTHER,0.9999717
SRR1192641,OTHER,0.9999377
SRR1192640,OTHER,0.99989146
SRR1192643,OTHER,0.9999336
SRR1192642,OTHER,0.999894
SRR1192644,OTHER,0.9999412
SRR1192645,OTHER,0.9999402
SRR1192646,OTHER,0.9999307
SRR1192647,OTHER,0.9999064
ERR862939,OTHER,0.99895936
ERR862957,OTHER,0.99911535
ERR878007,OTHER,0.999005
ERR862940,OTHER,0.9994324
ERR862958,OTHER,0.9994621
ERR878008,OTHER,0.99938023
ERR862941,OTHER,0.9992498
ERR862959,OTHER,0.9993888
ERR878009,OTHER,0.9992143
ERR862942,OTHER,0.9995139
ERR862960,OTHER,0.9993149
ERR878010,OTHER,0.9991449
ERR862943,OTHER,0.99955463
ERR862961,OTHER,0.99957466
ERR878011,OTHER,0.9995135
ERR862944,OTHER,0.99955386
ERR862962,OTHER,0.9996561
ERR878012,OTHER,0.9994155
ERR862945,OTHER,0.9993162
ERR862963,OTHER,0.9993278
ERR878013,OTHER,0.99908
ERR862946,OTHER,0.99955827
ERR862964,OTHER,0.99946594
ERR878014,OTHER,0.99931544
ERR862947,OTHER,0.9991495
ERR862965,OTHER,0.999276
ERR878015,OTHER,0.9989837
ERR862948,OTHER,0.9991026
ERR862966,OTHER,0.9989889
ERR878016,OTHER,0.9988168
ERR862949,OTHER,0.9992846
ERR862967,OTHER,0.99941957
ERR878017,OTHER,0.9991299
ERR862950,OTHER,0.9994235
ERR862968,OTHER,0.9994068
ERR878018,OTHER,0.99942714
