,sex,sex_confi
SRR2040367,female,0.99998343
SRR1265515,male,0.98636705
SRR1521397,male,0.9989215
ERR863744,female,0.9999932
SRR648416,female,0.99998075
ERR752836,male,0.9506861
SRR2040354,female,0.9995855
SRR2049628,male,0.9411416
SRR1177681,female,0.99512225
SRR826658,female,0.99904364
ERR348416,female,0.6798436
SRR959669,female,0.90388453
SRR1216003,male,0.9952469
SRR1231444,female,0.9860469
SRR1521390,female,0.999866
SRR897071,male,0.99389046
SRR898006,male,0.95608014
SRR801425,male,0.9999296
SRR2313071,male,0.9841234
SRR1027180,female,0.99998206
SRR1693471,male,0.9992712
SRR896911,male,0.9441613
SRR897160,male,0.9378215
SRR1971627,male,0.98902667
SRR897517,male,0.93899
SRR922464,female,0.9986965
ERR752635,male,0.96541643
SRR897944,male,0.98796237
SRR897868,male,0.94487417
SRR2052722,male,0.99672204
SRR2087349,female,0.9998353
SRR1067934,male,0.97279584
SRR2052691,male,0.9765463
SRR1216095,male,0.9659295
SRR898396,male,0.9821706
SRR898446,male,0.97369033
SRR868831,female,0.9998735
SRR1927033,male,0.9547987
SRR896755,male,0.93116343
ERR752589,male,0.963004
SRR1803370,male,0.91364956
SRR868839,female,0.9978777
SRR448099,male,0.95144665
SRR546582,male,0.74202937
SRR831028,male,0.6614654
SRR897595,male,0.9902636
SRR2049673,male,0.99300975
SRR2049613,male,0.98747826
SRR2313990,female,0.99997854
SRR801429,female,0.99999315
SRR897809,male,0.9978943
ERR975346,male,0.99998844
ERR502859,male,0.9999887
SRR896702,male,0.9985067
SRR896823,male,0.9826028
SRR1146129,male,0.99407053
SRR1213580,male,0.9881323
SRR988505,female,0.99839145
SRR1037487,female,0.7376329
SRR1698154,female,0.99815303
SRR1206037,male,0.8514403
SRR2052705,female,0.9997994
SRR650186,male,0.9728775
SRR915792,female,0.99953204
SRR1721306,male,0.9664402
SRR898148,male,0.9580844
SRR959706,female,0.9059237
SRR896800,male,0.9413354
SRR897528,male,0.9353471
SRR1201816,female,0.9514515
SRR1265627,male,0.9984201
SRR1002095,female,0.9999728
SRR1203832,female,0.96354926
SRR898123,male,0.9983145
SRR1146153,male,0.9827366
SRR1721297,male,0.95600235
SRR1027181,female,0.9999593
SRR542388,female,0.9999941
SRR1202005,female,0.97138107
SRR1146240,female,0.99986315
SRR456936,male,0.84485185
SRR1663233,female,0.99958265
SRR1608530,female,0.99400693
SRR537124,female,0.99297094
SRR830988,male,0.92621505
SRR830981,female,0.99819773
SRR898413,male,0.9915983
SRR896827,male,0.9953376
SRR898135,male,0.99705285
SRR831006,female,0.97789145
SRR2052659,male,0.9761292
SRR1313099,female,0.996982
SRR1193017,male,0.999994
SRR1265639,male,0.97798747
SRR922450,male,0.9850582
SRR962600,female,0.9995921
SRR1216021,male,0.9991007
SRR897930,male,0.98536825
SRR018260,female,0.8424797
ERR752756,male,0.960075
SRR915765,female,0.99969196
SRR897680,male,0.9665793
SRR898204,male,0.97995806
SRR2314041,female,0.9999825
SRR898289,male,0.9973694
SRR628587,female,0.5678586
SRR897411,male,0.9967577
SRR1747200,male,0.9659355
SRR1067999,male,0.9624445
DRR006439,female,0.9921071
SRR018258,male,0.9996293
SRR1206045,male,0.94992703
SRR1785278,female,0.99073887
SRR846957,male,0.93931264
SRR831029,male,0.7001253
SRR1265533,male,0.9711922
SRR057635,male,0.9999347
ERR752858,male,0.97496873
ERR351352,female,0.99417764
SRR2962013,female,0.9964286
SRR1146101,female,0.99932516
SRR897295,male,0.96823454
SRR2049607,male,0.9847929
SRR542359,female,0.9982589
ERR649037,male,0.9107169
SRR1163273,male,0.9757635
SRR1216134,male,0.9984565
SRR797113,male,0.9322755
SRR898409,male,0.99133587
SRR2047488,male,0.9674013
SRR447172,female,0.8901824
SRR1265522,male,0.96748084
SRR1203009,female,0.7385448
SRR1698155,male,0.99735177
SRR898416,male,0.9866848
SRR831019,male,0.8812373
ERR863546,male,0.9999396
SRR896943,male,0.9587223
SRR898247,male,0.9977034
SRR1521426,female,0.7351671
SRR1177690,female,0.99950075
SRR534317,female,0.9939648
SRR1145044,male,0.9991746
SRR2443167,female,0.99637127
SRR896960,male,0.9766096
ERR649031,male,0.972614
SRR1201688,female,0.91296804
ERR752701,female,0.9983034
SRR1721287,male,0.99452573
SRR1521425,female,0.99999106
SRR959635,female,0.77804786
SRR903242,male,0.982299
SRR057639,male,0.9967922
SRR1521394,male,0.9948839
SRR948101,male,0.9969698
SRR897341,male,0.9709676
SRR896856,male,0.9822625
SRR1213699,male,0.99404013
SRR1265586,male,0.97967786
SRR897228,male,0.98242646
SRR898029,male,0.97515076
SRR1146103,male,0.99684083
SRR1216085,male,0.9693726
SRR1661796,male,0.988664
ERR315348,male,0.9912499
SRR1047828,female,0.9982977
SRR633563,male,0.9661147
SRR1754148,female,0.9840021
SRR1299439,male,0.97993296
SRR1576173,male,0.9911254
SRR1617421,male,0.91783124
SRR1663279,male,0.99788016
SRR317087,female,0.99786836
SRR456937,male,0.7950899
SRR2313991,male,0.9948632
SRR1191349,male,0.9999921
SRR650217,male,0.66870964
SRR898008,male,0.9748577
SRR2052704,male,0.97755224
SRR2087333,male,0.97025776
SRR1216081,male,0.9722393
SRR898285,male,0.9985749
ERR863705,female,0.99914587
SRR898267,male,0.9980427
SRR1201710,female,0.91753566
SRR1313225,female,0.99688673
SRR2049759,male,0.93939126
SRR898215,male,0.96539575
SRR537122,female,0.99924624
SRR897155,male,0.93456775
SRR2049719,female,0.9999262
SRR1385243,male,0.9999913
SRR897136,male,0.925144
SRR542397,female,0.9999484
SRR1146171,male,0.9976239
SRR1754117,male,0.9760836
SRR897831,male,0.9979377
SRR2443247,female,0.9987874
SRR831036,male,0.76356804
SRR898363,male,0.93858945
ERR752735,male,0.9620571
SRR191689,male,0.99219626
SRR1146246,female,0.99883366
SRR542351,female,0.9637414
SRR349747,male,0.99849284
SRR897795,male,0.9978576
SRR896727,male,0.9990913
SRR1201691,female,0.955488
SRR1216025,male,0.9605072
SRR1927051,female,0.99992007
SRR1768863,female,0.9991473
SRR1203010,female,0.887714
SRR1026982,male,0.95734817
SRR1146219,male,0.9984158
SRR1146116,female,0.9923812
SRR1161076,male,0.99166507
SRR2052766,female,0.9999294
SRR3067477,female,0.7504469
SRR898484,male,0.97127676
SRR1767294,male,0.9927346
SRR897179,male,0.9420683
SRR2052744,male,0.97579783
SRR633587,male,0.9721082
ERR348418,male,0.6032977
