,sex,sex_confi
SRR897156,male,0.9836753
SRR897958,male,0.9949996
SRR2049717,male,0.9655574
SRR633586,male,0.88973016
SRR897481,male,0.99793947
SRR1216128,male,0.98282623
SRR1146158,male,0.99830693
ERR752722,male,0.926153
ERR035536,female,0.99498975
SRR070187,male,0.6468534
SRR2087283,female,0.99971807
SRR897671,male,0.9890954
SRR479063,female,0.9978446
SRR1927048,female,0.99974954
SRR2052797,male,0.9927279
SRR317093,female,0.77299154
SRR831042,male,0.8485837
SRR897580,male,0.99362314
SRR1785316,female,0.9943115
SRR1036512,female,0.99996436
SRR1603661,male,0.988276
SRR2313992,female,0.999996
SRR1026873,female,0.9990405
SRR1201724,male,0.94621164
SRR1146254,male,0.99896795
SRR358997,male,0.9957732
SRR1502799,male,0.9994594
SRR1026932,female,0.9986245
SRR898315,male,0.98554343
SRR1027002,female,0.9963459
SRR222177,male,0.9728096
SRR057642,male,0.9994446
SRR1803373,male,0.99929684
SRR898334,male,0.99102974
SRR1202979,female,0.9919489
SRR2087297,male,0.9999464
SRR1163278,female,0.9995074
SRR926661,male,0.9959137
SRR496578,male,0.9998867
SRR897672,male,0.9953561
SRR897617,male,0.9959227
SRR1313188,female,0.99386775
SRR959661,male,0.51224244
SRR959719,female,0.5907706
SRR1521371,male,0.9986326
SRR1663266,male,0.99887496
SRR1177741,female,0.9992102
SRR2313995,male,0.98991823
SRR1693631,male,0.9939663
SRR915781,female,0.9997441
ERR863686,female,0.99999225
SRR2052775,male,0.9793007
SRR650186,male,0.97494394
SRR1693464,male,0.9976145
SRR830981,female,0.99777955
SRR2052734,male,0.9839908
ERR351352,female,0.99140656
SRR2443158,female,0.998144
SRR897469,male,0.99935466
SRR2954790,male,0.90045357
SRR897793,male,0.9988071
SRR1747158,male,0.9882137
SRR456937,male,0.9167266
SRR1652964,female,0.99999964
SRR1265540,male,0.9702984
ERR833233,male,0.99263
SRR1576179,male,0.998847
SRR1026972,female,0.99338055
SRR387405,male,0.99990404
SRR397196,male,0.9999863
SRR786625,male,0.9887149
SRR2926030,male,0.99495727
SRR1163244,female,0.99653596
SRR1145050,male,0.9926931
SRR1663267,male,0.99943066
SRR797165,female,0.9995183
SRR896966,male,0.99412614
SRR948111,male,0.9966842
SRR846948,female,0.9997247
SRR897530,male,0.9946405
SRR2443191,female,0.99895036
SRR791064,female,0.9987539
ERR315440,female,0.9999937
SRR898285,male,0.9993151
SRR975598,male,0.99943084
ERR519491,male,0.9916099
SRR1427489,female,0.99689406
SRR2962005,male,0.9993064
SRR897791,male,0.99865425
SRR897634,male,0.9981723
SRR797126,female,0.99916804
SRR1608514,female,0.9923814
SRR479055,female,0.99560153
ERR329507,female,0.973125
SRR898177,male,0.9963495
SRR1521387,male,0.9920759
SRR1313101,female,0.9998565
ERR532433,male,0.99890614
SRR1216084,male,0.9949182
SRR1026875,male,0.9943535
SRR1603670,male,0.9721187
SRR897159,male,0.99345434
SRR1747210,male,0.9916986
SRR897267,male,0.99799585
SRR1026889,male,0.9681757
SRR1648330,female,0.9999937
ERR315435,female,0.9989093
SRR479052,female,0.9826587
ERR348409,male,0.68343794
SRR897259,male,0.9972502
SRR903234,male,0.9894574
SRR896728,male,0.99819595
SRR1663291,female,0.96650475
SRR1201710,female,0.85779905
DRR006392,male,0.9943408
ERR315378,female,0.96142083
SRR1313199,female,0.99952203
SRR2443178,female,0.9968888
SRR1803372,male,0.99583876
SRR2026321,male,0.8835521
SRR1617455,female,0.9970554
SRR896725,male,0.9985719
SRR898187,male,0.9955093
SRR1216017,male,0.99749506
SRR1608564,male,0.99896467
SRR1698174,female,0.9997204
SRR1747149,male,0.9951143
SRR897552,male,0.98954
SRR397254,female,0.9988562
SRR897550,male,0.9895035
SRR942564,male,0.9965402
SRR1201806,female,0.9132177
SRR1002078,female,0.9998811
SRR1265497,male,0.9791151
SRR898451,male,0.99280244
SRR1067928,male,0.9428552
SRR897796,male,0.9989327
SRR1652976,female,0.61402214
SRR396928,male,0.9997487
SRR897457,male,0.9988453
SRR537101,female,0.9999361
SRR2926031,male,0.9917537
SRR1652941,male,0.94731176
SRR424567,female,0.85588205
SRR2052703,male,0.9819414
SRR2443224,female,0.9985548
ERR752878,male,0.9625966
SRR332272,male,0.9995457
SRR1818586,male,0.7549871
SRR846943,male,0.9826182
SRR1163058,male,0.95820963
SRR2049663,male,0.9931119
SRR922456,male,0.98638266
ERR752755,male,0.95370924
SRR898157,male,0.99043083
SRR1169862,male,0.99442434
SRR2049777,male,0.96569574
SRR396924,female,0.97469825
SRR1292165,female,0.99352056
SRR1374351,male,0.96781886
ERR649031,male,0.97637683
SRR633608,female,0.9999279
SRR1265888,male,0.9892622
SRR1146208,male,0.9990405
SRR1373451,female,0.9988863
SRR868872,female,0.99802953
DRR006423,female,0.98089314
SRR988501,female,0.99807703
SRR1652918,female,0.9946809
SRR959674,female,0.576257
SRR897586,male,0.9973688
SRR1191667,male,0.99997795
SRR897163,male,0.9865195
SRR898462,male,0.9955908
SRR897848,male,0.99862164
SRR786627,male,0.99320495
SRR359291,male,0.9980518
SRR2049611,female,0.9991949
SRR396911,male,0.9942514
SRR1060774,male,0.9539005
SRR1146139,male,0.9916828
SRR797143,male,0.5932357
SRR1663273,male,0.9978077
SRR2049600,female,0.9996821
SRR1222590,male,0.97722006
SRR897882,male,0.99207765
SRR1265612,male,0.984615
SRR896770,male,0.98820907
SRR976772,female,0.9699379
SRR897888,male,0.9882671
SRR1295945,female,0.9998765
SRR396925,female,0.8754199
SRR1036115,female,0.99745333
ERR315444,female,0.76240724
SRR948100,female,0.974932
ERR502852,male,0.9999794
SRR1002084,female,0.99907035
SRR915773,male,0.94274235
