run_accession,ADRENAL GLAND,BONE MARROW,BRAIN,BREAST,ESOPHAGUS,KIDNEY,LIVER,LUNG,OVARY,PANCREAS,PROSTATE,SKIN,STOMACH,TESTIS,THYROID,UTERUS,predicted,MetaSRA
SRR534317,0.00013475456,6.035845e-05,5.8090927e-06,0.0009137605,0.0850284,0.007064928,0.00031507484,4.7062786e-05,0.69007427,0.011461807,0.096184894,4.3598913e-05,0.0025378666,0.0005501455,0.00023773742,0.10533958,OVARY,BRAIN
SRR537109,1.9849215e-10,1.763688e-11,1.3699339e-13,0.999782,7.238407e-09,1.2069283e-09,1.5571412e-11,0.00021783373,1.6160161e-09,1.2276995e-08,5.8253606e-09,1.8762364e-08,1.7133058e-08,7.2093315e-10,3.4984183e-08,1.9812395e-08,BREAST,LUNG
SRR1576155,1.9781262e-06,2.028145e-05,1.18956555e-11,7.653781e-05,8.354568e-08,0.00018784798,7.2575785e-06,1.2901734e-05,0.00051391916,2.4798285e-07,0.77460706,1.8273131e-07,7.783635e-07,0.000980852,3.766369e-07,0.22358969,PROSTATE,OVARY
SRR1576180,1.0147792e-06,8.102814e-06,6.2555187e-12,8.228449e-05,5.3776503e-08,0.00013053753,3.890339e-06,9.960493e-06,0.00026938264,1.5379695e-07,0.8818313,1.2634521e-07,5.2393113e-07,0.0004919428,2.195985e-07,0.117170505,PROSTATE,OVARY
SRR975588,9.2686203e-10,2.4614677e-11,8.261585e-16,2.749961e-10,2.3368386e-05,6.413214e-05,2.0889322e-08,5.8387315e-08,3.1459753e-09,5.5538507e-08,0.006835932,1.03057805e-11,0.99307644,4.4443768e-10,2.510764e-10,2.5986657e-09,STOMACH,LIVER
SRR975596,1.0786759e-05,8.2655384e-07,2.7154384e-10,0.00017067311,0.039351203,0.010541397,0.0005108556,0.00015769756,0.0007030655,0.0009699806,0.02335874,1.6662473e-06,0.9200507,3.661618e-05,2.8083516e-05,0.004107695,STOMACH,LIVER
SRR975599,0.00053968804,0.0006395869,3.3783068e-05,0.004134551,0.022298954,0.01925534,0.37537482,0.005041049,0.004429083,0.021458382,0.022854803,0.0008774574,0.5108068,0.0015622259,0.0011372276,0.009556146,STOMACH,LIVER
SRR975602,0.00012035559,7.8502846e-05,1.9963346e-07,0.00059822085,0.0677989,0.007637722,0.013088795,0.0002534932,0.001411829,0.012356058,0.024228387,2.5433359e-05,0.8663443,0.00040549494,4.9345905e-05,0.0056030047,STOMACH,LIVER
ERR030889,0.0011720135,0.060863353,6.9263037e-06,0.36203024,0.010104857,0.020401046,0.0014444933,0.31135514,0.0018408052,0.0012286579,0.01480841,0.00018806059,0.009445829,0.053938273,0.0715008,0.07967108,BREAST,ADRENAL GLAND
ERR030881,0.0009927704,0.06457647,7.218651e-06,0.48476702,0.007581328,0.021612855,0.0015377935,0.19841209,0.0019621514,0.0014675906,0.011004699,0.00020854748,0.00824677,0.058493152,0.061305776,0.07782381,BREAST,ADRENAL GLAND
SRR1744422,9.673793e-06,0.00055097096,9.217831e-06,0.0004290168,0.34693757,0.0003199583,0.00016162323,1.519183e-06,0.6460692,5.304192e-05,0.0026369228,2.871057e-05,4.2098538e-05,0.0014927833,5.4145494e-06,0.0012521923,OVARY,SKIN
SRR1744423,7.176575e-06,0.00051760953,1.1980759e-05,0.0002464897,0.5030148,0.00020441118,0.00013302805,1.3403406e-06,0.49239308,6.399614e-05,0.001795561,1.6299162e-05,2.9848574e-05,0.000735129,4.460492e-06,0.00082482264,ESOPHAGUS,SKIN
SRR1744425,1.1584731e-05,0.00032839217,2.3234836e-05,0.00025801864,0.4020346,0.00024169084,9.714838e-05,2.0621005e-06,0.59423125,4.9989347e-05,0.0010261378,1.4408702e-05,3.449605e-05,0.00062795053,5.5388728e-06,0.0010134686,OVARY,SKIN
SRR1744426,0.00031979493,0.0016616847,9.236195e-05,0.008377801,0.8724763,0.0040827743,0.0016464663,8.435596e-05,0.07292402,0.0009062468,0.01177465,0.001328477,0.0013207416,0.022394737,0.00017504451,0.0004345811,ESOPHAGUS,SKIN
SRR1744427,0.00029853135,0.0014714695,0.00010556633,0.015657023,0.8687328,0.006095263,0.001645186,4.7048845e-05,0.07420096,0.001051783,0.011546355,0.0010375786,0.0014711883,0.015979698,0.00016607075,0.00049347815,ESOPHAGUS,SKIN
